City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
258,Baykit,RU,2022-01-30 18:26:40,61.67,96.37,-11.31,100,94,1.14
259,Tucuma,BR,2022-01-30 18:26:40,-0.1833,-50.05,79.09,88,99,6.64
260,Klaksvik,FO,2022-01-30 18:26:40,62.2266,-6.589,38.32,82,100,15.93
261,Pinyug,RU,2022-01-30 18:26:40,60.251,47.7842,0.37,99,72,3.67
262,Sandpoint,US,2022-01-30 18:26:41,48.2766,-116.5533,30.61,90,100,0.0
263,Santa Fe,AR,2022-01-30 18:26:41,-31.6333,-60.7,94.01,29,0,4.0
264,Knysna,ZA,2022-01-30 18:26:41,-34.0363,23.0471,70.18,91,68,5.66
265,Pangnirtung,CA,2022-01-30 18:26:42,66.1451,-65.7125,-16.6,63,75,4.61
266,Vila,PT,2022-01-30 18:26:42,42.0304,-8.1588,43.93,65,0,3.33
267,Jieshi,CN,2022-01-30 18:27:42,22.8134,115.8257,53.94,68,44,16.55
268,Arezzo,IT,2022-01-30 18:27:43,43.4724,11.869,50.59,80,36,0.51
269,Khatanga,RU,2022-01-30 18:23:01,71.9667,102.5,-8.3,98,98,9.75
270,Japura,ID,2022-01-30 18:27:43,-0.3167,102.35,73.54,98,39,1.74
271,Sauce,UY,2022-01-30 18:27:44,-34.6469,-56.0628,83.43,33,0,8.81
272,Taman,RU,2022-01-30 18:27:44,45.2117,36.7161,43.12,72,100,23.67
273,Batticaloa,LK,2022-01-30 18:27:44,7.7102,81.6924,78.26,85,29,9.95
274,Saint George,US,2022-01-30 18:27:05,37.1041,-113.5841,55.35,28,0,1.01
275,Coffs Harbour,AU,2022-01-30 18:27:45,-30.3,153.1333,72.14,96,100,6.91
276,Acarau,BR,2022-01-30 18:27:45,-2.8856,-40.12,77.16,86,100,10.65
277,Wakkanai,JP,2022-01-30 18:27:45,45.4094,141.6739,17.69,61,100,11.27
278,Rocha,UY,2022-01-30 18:27:45,-34.4833,-54.3333,82.81,42,6,9.57
279,Malanje,AO,2022-01-30 18:27:46,-9.5402,16.341,65.35,96,99,4.38
280,Palmer,US,2022-01-30 18:23:14,42.1584,-72.3287,23.68,36,0,4.0
281,Guerrero Negro,MX,2022-01-30 18:23:37,27.9769,-114.0611,64.42,56,69,11.32
282,Quatre Cocos,MU,2022-01-30 18:27:46,-20.2078,57.7625,80.71,84,55,17.96
283,Kushmurun,KZ,2022-01-30 18:27:47,52.4503,64.6311,9.3,95,93,9.84
284,Clyde River,CA,2022-01-30 18:27:47,70.4692,-68.5914,-16.37,69,75,2.3
285,Mehamn,NO,2022-01-30 18:27:47,71.0357,27.8492,30.15,64,75,20.71
286,Kruisfontein,ZA,2022-01-30 18:27:48,-34.0033,24.7314,73.89,82,82,14.38
287,Belize,BZ,2022-01-30 18:27:23,17.25,-88.75,75.24,45,22,3.62
288,Belyy Yar,RU,2022-01-30 18:25:54,53.6039,91.3903,-19.14,81,100,0.0
289,Bealanana,MG,2022-01-30 18:27:48,-14.55,48.7333,66.67,92,76,2.59
290,Sept-Iles,CA,2022-01-30 18:27:49,50.2001,-66.3821,9.12,64,75,10.0
291,Pangody,RU,2022-01-30 18:27:49,65.85,74.4859,-8.97,98,83,7.16
292,Raga,SS,2022-01-30 18:27:49,8.4596,25.678,73.38,19,97,4.56
293,Guaratingueta,BR,2022-01-30 18:27:49,-22.8164,-45.1925,76.41,88,75,4.61
