City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
152,Provideniya,RU,2022-02-02 21:41:34,64.3833,-173.3,3.47,69,18,22.62,few clouds
153,Giovinazzo,IT,2022-02-02 21:46:00,41.1864,16.6674,47.82,66,0,5.99,clear sky
154,Shimizu,JP,2022-02-02 21:46:00,43.0061,142.8847,14.76,86,52,7.07,broken clouds
155,Carutapera,BR,2022-02-02 21:46:01,-1.195,-46.02,76.12,90,100,8.28,overcast clouds
156,Arman,RU,2022-02-02 21:46:01,59.7,150.1667,10.71,82,100,9.86,overcast clouds
157,Iqaluit,CA,2022-02-02 21:42:32,63.7506,-68.5145,8.33,78,100,11.01,light snow
158,Sun Valley,US,2022-02-02 21:46:01,39.5963,-119.776,39.78,36,0,5.01,clear sky
159,Emerald,AU,2022-02-02 21:46:02,-23.5333,148.1667,75.34,100,75,10.36,light rain
160,Nemuro,JP,2022-02-02 21:46:02,43.3236,145.575,22.8,72,54,8.23,broken clouds
161,Maniitsoq,GL,2022-02-02 21:43:06,65.4167,-52.9,3.7,74,100,17.96,overcast clouds
162,Marsaxlokk,MT,2022-02-02 21:46:03,35.8419,14.5431,56.08,87,0,12.66,clear sky
163,Belyy Yar,RU,2022-02-02 21:46:03,53.6039,91.3903,-20.31,76,75,4.47,mist
164,Sochaczew,PL,2022-02-02 21:46:04,52.2294,20.2384,34.03,84,99,13.58,overcast clouds
165,Bratsk,RU,2022-02-02 21:46:05,56.1325,101.6142,-10.71,100,77,1.59,broken clouds
166,Marsa Matruh,EG,2022-02-02 21:46:05,31.3525,27.2453,53.8,62,40,5.75,scattered clouds
167,Pevek,RU,2022-02-02 21:46:05,69.7008,170.3133,-8.43,76,30,4.92,scattered clouds
168,Vila Franca Do Campo,PT,2022-02-02 21:46:06,37.7167,-25.4333,58.19,79,22,8.84,few clouds
169,Sungaipenuh,ID,2022-02-02 21:46:06,-2.0833,101.3833,64.72,95,95,3.38,light rain
170,Port Shepstone,ZA,2022-02-02 21:46:06,-30.7414,30.455,77.34,91,99,16.71,overcast clouds
171,Lahan,NP,2022-02-02 21:46:07,26.7296,86.4951,57.85,59,10,4.81,clear sky
172,Lagoa,PT,2022-02-02 21:42:59,39.05,-27.9833,58.26,73,4,7.4,clear sky
173,Marsh Harbour,BS,2022-02-02 21:46:08,26.5412,-77.0636,71.89,60,9,17.09,clear sky
174,High Level,CA,2022-02-02 21:46:08,58.5169,-117.136,-11.09,77,40,6.91,scattered clouds
175,Nara,JP,2022-02-02 21:46:08,34.6851,135.8049,39.96,62,96,3.78,overcast clouds
176,Goregaon,IN,2022-02-02 21:46:09,18.1667,73.3,64.45,71,6,2.37,clear sky
177,Truro,GB,2022-02-02 21:46:09,50.2653,-5.0544,47.48,81,100,8.05,overcast clouds
178,Torbay,CA,2022-02-02 21:43:45,47.6666,-52.7314,26.49,84,40,4.61,scattered clouds
179,Gunupur,IN,2022-02-02 21:46:10,19.0833,83.8167,64.92,95,7,0.74,clear sky
180,Berlevag,NO,2022-02-02 21:46:04,70.8578,29.0864,19.2,93,75,8.05,snow
181,Djibo,BF,2022-02-02 21:46:10,14.1022,-1.6306,71.62,12,4,8.08,clear sky
182,Angoche,MZ,2022-02-02 21:46:10,-16.2325,39.9086,76.21,85,31,1.9,scattered clouds
183,Tromso,NO,2022-02-02 21:46:11,69.6496,18.957,12.22,79,0,5.75,clear sky
184,Dayong,CN,2022-02-02 21:46:11,25.0209,118.2898,53.28,97,100,2.86,moderate rain
185,Acapulco,MX,2022-02-02 21:44:02,16.8634,-99.8901,84.02,61,0,4.61,clear sky
186,Slave Lake,CA,2022-02-02 21:45:17,55.2834,-114.769,1.38,55,0,17.27,clear sky
187,Komsomolskiy,UZ,2022-02-02 21:46:12,40.4272,71.7189,39.92,81,75,4.61,broken clouds
188,Laranjeiras Do Sul,BR,2022-02-02 21:46:12,-25.4078,-52.4161,74.68,67,57,2.77,broken clouds
189,Maceio,BR,2022-02-02 21:46:04,-9.6658,-35.7353,83.64,69,20,11.5,few clouds
190,Yar-Sale,RU,2022-02-02 21:46:13,66.8333,70.8333,-1.12,98,100,13.2,light snow
191,Remuna,IN,2022-02-02 21:47:13,21.5261,86.8722,65.59,80,0,5.95,clear sky
192,Schwanewede,DE,2022-02-02 21:47:13,53.2333,8.6,38.01,94,100,1.01,overcast clouds
193,Fengkou,CN,2022-02-02 21:47:14,30.0833,113.2667,35.98,85,99,3.44,overcast clouds
194,Muroto,JP,2022-02-02 21:47:14,33.2833,134.15,41.04,65,99,8.72,light rain
195,Kuytun,RU,2022-02-02 21:47:15,54.3419,101.5036,-18.6,100,95,1.21,overcast clouds
196,Kavaratti,IN,2022-02-02 21:42:51,10.5669,72.642,79.52,72,7,10.6,clear sky
197,Tual,ID,2022-02-02 21:47:15,-5.6667,132.75,82.87,73,100,8.5,overcast clouds
198,Souillac,MU,2022-02-02 21:46:17,-20.5167,57.5167,79.36,100,75,33.38,shower rain
199,Fortuna,US,2022-02-02 21:43:09,40.5982,-124.1573,58.42,69,0,8.01,clear sky
200,Kapaa,US,2022-02-02 21:46:23,22.0752,-159.319,81.12,65,0,1.99,clear sky
201,Vanavara,RU,2022-02-02 21:47:16,60.34,102.2797,-10.21,100,94,3.06,overcast clouds
202,Caravelas,BR,2022-02-02 21:47:16,-17.7125,-39.2481,78.42,84,100,5.35,overcast clouds
203,Mizque,BO,2022-02-02 21:47:16,-17.941,-65.3402,70.56,64,81,6.4,broken clouds
204,Ponta Delgada,PT,2022-02-02 21:47:17,37.7333,-25.6667,58.5,77,20,8.05,few clouds
205,Znamenskoye,RU,2022-02-02 21:47:17,57.1281,73.8282,17.44,89,100,8.63,overcast clouds
206,Port Moresby,PG,2022-02-02 21:47:17,-9.4431,147.1797,72.82,94,75,11.5,broken clouds
207,Cherskiy,RU,2022-02-02 21:47:18,68.75,161.3,-14.87,65,62,0.54,broken clouds
208,Luang Prabang,LA,2022-02-02 21:47:18,19.8856,102.1347,62.62,98,6,1.1,clear sky
209,La Maddalena,IT,2022-02-02 21:47:18,41.2142,9.4083,53.65,78,1,4.97,clear sky
210,Barentin,FR,2022-02-02 21:47:19,49.5453,0.9552,48.13,78,100,5.57,overcast clouds
211,Labytnangi,RU,2022-02-02 21:47:07,66.6572,66.4183,1.69,97,100,5.26,overcast clouds
212,Launceston,AU,2022-02-02 21:47:19,-41.45,147.1667,60.44,61,40,1.99,scattered clouds
213,Coquimbo,CL,2022-02-02 21:43:22,-29.9533,-71.3436,67.73,68,20,13.8,few clouds
214,Miles City,US,2022-02-02 21:47:20,46.4083,-105.8406,2.37,60,0,3.44,clear sky
215,Bayir,TR,2022-02-02 21:47:20,37.2687,28.2167,52.32,87,100,19.57,overcast clouds
